Battery_Voltage_(Lead-acid)_(V),Motor_Temperature,Motor_RPM,Range_(km),Tyre_Pressure_(psi),Brake_Fluid_(%),Coolant_Level_(%),Lubricant_Level_(%),Maintenance_Needed_(Area)
12.84,81.66,2847,299,34.25,60,68,81,No Maintenance Required
12.29,77.94,3277,271,34.21,74,68,83,Tyres
12.78,76.43,3018,296,33.82,66,61,81,Motor and Tyres
12.8,84.09,2847,272,36.48,63,69,79,Battery
12.11,83.44,3241,264,35.87,68,73,89,Tyres and Lubrication
12.61,81.69,3013,256,31.31,72,72,78,Motor and Tyres
12.88,78.98,3179,285,32.98,70,72,86,Tyres and Lubrication
12.83,84.36,2976,282,36.65,71,72,84,Motor and Lubrication
12.6,76.12,3084,251,31.75,77,61,82,Motor and Lubrication
12.76,82.56,3247,298,34.02,73,66,78,Brake System and Lubrication
12.5,78.89,3185,299,35.94,77,68,85,No Maintenance Required
12.12,76.37,2885,268,30.2,66,73,78,Brake System and Lubrication
12.53,83.19,3272,270,31.88,79,62,78,No Maintenance Required
12.34,75.47,2950,281,31.99,61,71,86,Tyres and Brake System
12.53,80.34,3286,263,36.97,64,72,82,Motor and Tyres
12.71,75.78,3214,252,30.31,80,63,90,Tyres and Lubrication
12.43,76.65,3009,300,31.56,69,64,81,Tyres and Brake System
12.56,83.01,2888,287,34.43,72,73,85,Motor and Lubrication
12.26,78.92,3226,281,30.09,62,61,89,Battery
12.53,82.45,2813,280,34.84,78,61,88,Brake System and Lubrication
12.59,76.37,3171,296,36.8,77,62,80,Tyres and Lubrication
12.13,76.36,3209,287,36.57,77,67,78,Brake System and Lubrication
12.66,80.89,3222,296,31.98,63,70,88,Brake System and Lubrication
12.38,83.56,3180,297,31.58,61,75,81,Tyres
12.49,75.66,2821,271,36.24,66,66,84,No Maintenance Required
12.18,78.8,3118,269,33.66,61,64,87,Tyres
12.58,84.95,3005,260,33.21,68,68,83,Brake System and Lubrication
12.29,77.73,2871,258,35.38,61,68,84,Motor and Tyres
12.8,80.07,2860,265,32.02,66,66,82,Tyres and Lubrication
12.63,76.52,3295,276,35.34,63,70,79,Tyres
12.67,79.42,3175,291,31.68,60,73,84,Battery
12.89,82.85,3066,264,32.38,64,73,83,Tyres
12.82,83.6,2977,258,34.67,78,65,86,Tyres and Brake System
12.54,77.12,3292,284,35.67,62,69,81,Tyres
12.52,80.13,2919,292,32.13,74,69,80,No Maintenance Required
12.11,83.16,2914,278,35.61,78,71,78,Tyres and Brake System
12.73,82.68,2817,293,31.54,69,64,86,Motor and Tyres
12.66,82.25,3067,271,36.48,78,66,78,Tyres
12.78,84.42,2805,256,35.31,77,63,84,Tyres and Brake System
12.48,81.66,3089,291,35.25,69,63,78,Motor and Tyres
12.89,75.16,3000,285,35.19,63,65,81,Tyres and Lubrication
12.64,83.33,2830,293,32.4,79,68,80,Tyres and Lubrication
12.61,82.02,3029,276,32.82,65,75,80,Brake System and Lubrication
12.16,83.43,2803,295,36.29,66,72,80,Motor and Tyres
12.26,79.58,3252,267,31.03,72,66,80,Motor and Tyres
12.28,79.56,3038,282,34.05,78,70,87,Tyres
12.68,76.07,2861,281,34.8,77,64,88,Tyres and Lubrication
12.66,77.89,3207,267,33.13,64,65,85,Brake System and Lubrication
12.12,77.94,2849,253,34.9,75,60,86,Tyres
12.88,77.82,2942,295,31.63,62,67,88,Motor and Lubrication
12.12,84.41,3264,296,31.88,62,62,84,Tyres
12.2,83.74,2985,251,34.06,78,75,87,No Maintenance Required
12.34,75.26,3099,295,34.62,62,70,81,Tyres and Brake System
12.41,75.78,3024,271,32.96,66,62,81,Brake System and Lubrication
12.19,77.09,2857,300,35.74,62,64,84,Brake System and Lubrication
12.34,81.88,2928,288,31.02,60,72,86,Brake System and Lubrication
12.86,79.23,3134,295,31.1,70,61,89,Battery
12.62,77.5,3291,285,30.03,61,71,89,Tyres and Lubrication
12.42,77.44,2958,281,36.15,75,73,79,Tyres
12.8,75.69,3159,282,35.86,61,74,84,Tyres
12.67,78.16,3045,298,32.59,64,67,85,Brake System and Lubrication
12.13,81.36,3170,275,36.24,70,62,78,Tyres and Lubrication
12.3,78.33,3026,261,31.3,71,75,85,Tyres
12.77,79.07,3016,263,35.5,74,69,87,Tyres and Brake System
12.75,79.39,2882,286,32.01,78,64,86,Motor and Tyres
12.71,81.19,2854,293,36.32,69,65,82,Motor and Lubrication
12.64,78.91,2912,271,36.43,69,62,84,Tyres and Brake System
12.86,82.05,2922,286,36.13,78,63,79,No Maintenance Required
12.46,82.48,3217,282,32.63,77,64,84,Tyres and Brake System
12.58,84.09,2859,259,32.76,77,73,83,Battery
12.9,83.75,3038,275,33.94,75,73,90,Motor and Lubrication
12.54,76.48,2875,290,33.71,66,66,81,Motor and Tyres
12.23,80.36,2849,278,31.95,75,72,79,Motor and Tyres
12.53,77.44,3281,297,36.5,70,75,88,Tyres and Brake System
12.67,78.93,2902,264,34.99,75,63,78,Tyres and Brake System
12.68,83.98,3025,261,31.15,62,65,89,Motor and Lubrication
12.68,84.83,3283,262,31.61,60,68,78,No Maintenance Required
12.52,76.5,3053,265,31.75,65,64,88,Motor and Lubrication
12.25,83.41,3199,268,31.87,60,66,83,Brake System and Lubrication
12.44,82.3,2855,268,35.92,62,66,81,Brake System and Lubrication
12.6,79.36,3260,290,30.56,76,71,85,Motor and Lubrication
12.73,82.21,3168,293,35.25,60,71,88,Motor and Tyres
12.15,79.99,3125,282,30.39,70,74,84,No Maintenance Required
12.34,75.6,3034,267,30.17,60,62,84,Battery
12.35,75.84,3185,284,33.2,68,69,82,Brake System and Lubrication
12.1,81.88,3009,255,36.54,65,62,80,Motor and Tyres
12.18,78.78,3236,292,35.97,62,72,81,Motor and Lubrication
12.9,78.15,2810,256,30.96,66,61,88,Tyres
12.9,83.1,3270,257,34.81,80,73,85,Battery
12.84,75.18,3115,252,35.94,73,68,88,Motor and Lubrication
12.77,81.94,2911,295,30.03,76,73,87,Motor and Tyres
12.63,79.26,3272,275,32.66,71,73,87,Tyres and Lubrication
12.61,77.8,3281,287,35.4,62,61,83,Motor and Lubrication
12.33,82.01,2962,293,33.98,71,68,88,Tyres and Brake System
12.41,80.01,2838,257,36.73,72,69,88,Motor and Tyres
12.29,75.99,3101,299,34.72,65,73,78,Motor and Lubrication
12.53,80.44,2901,250,35.18,78,62,87,Battery
12.55,77.68,2988,257,35.42,60,62,89,Tyres and Lubrication
12.13,83.56,3179,273,33.71,60,71,81,Motor and Lubrication
12.4,82.87,2890,292,36.99,62,67,79,Tyres and Brake System
12.14,79.42,2913,260,30.88,70,62,82,Motor and Lubrication
12.45,79.55,3094,284,34.8,75,64,89,No Maintenance Required
12.32,80.44,3096,300,35.48,61,62,89,Motor and Lubrication
12.25,76.14,3088,255,36.04,62,65,80,Tyres and Brake System
12.23,84.39,3179,261,35.87,72,71,83,Tyres and Lubrication
12.21,75.0,2888,260,32.04,65,68,81,Brake System and Lubrication
12.24,79.39,3161,260,32.05,65,68,84,Tyres and Lubrication
12.15,81.1,3110,253,30.77,74,64,86,Brake System and Lubrication
12.83,82.96,3078,257,36.02,70,69,86,Motor and Lubrication
12.62,78.13,3143,277,32.29,66,74,86,Motor and Lubrication
12.29,75.63,2959,275,33.25,75,71,88,Motor and Lubrication
12.47,80.02,3219,288,34.71,62,62,87,Motor and Lubrication
12.14,78.47,3220,264,34.44,78,75,82,Tyres and Lubrication
12.19,77.4,3153,278,30.47,67,74,79,Tyres and Brake System
12.57,79.78,3046,291,31.03,69,64,86,No Maintenance Required
12.84,81.86,2801,269,30.7,68,69,82,Motor and Lubrication
12.41,83.15,3098,261,33.59,62,62,85,No Maintenance Required
12.38,82.21,2844,287,32.18,67,65,90,Tyres
12.31,82.34,3258,287,31.89,79,65,81,Tyres
12.16,82.49,3192,274,36.23,75,64,80,Tyres
12.67,84.22,2936,257,34.37,68,68,87,Brake System and Lubrication
12.26,84.04,2926,281,34.9,67,61,86,No Maintenance Required
12.76,81.29,3249,267,36.65,69,64,84,Brake System and Lubrication
12.62,76.93,2878,269,33.9,73,63,87,Tyres and Lubrication
12.53,83.83,3298,264,30.26,68,62,87,Tyres and Lubrication
12.69,80.74,2901,296,31.81,60,64,82,Tyres and Brake System
12.89,76.19,2815,285,36.05,60,62,83,Tyres and Lubrication
12.25,76.19,3214,290,36.97,73,61,89,Tyres and Brake System
12.38,78.51,3037,290,31.5,66,74,90,Motor and Tyres
12.5,75.8,2802,265,32.86,66,70,86,Motor and Tyres
12.49,82.64,2909,254,35.37,79,66,85,Tyres and Lubrication
12.59,83.62,3239,285,33.84,64,74,79,Motor and Lubrication
12.57,83.99,3085,286,30.89,61,62,87,Brake System and Lubrication
12.32,84.12,2907,288,33.25,69,67,87,Brake System and Lubrication
12.2,83.6,3238,290,30.21,76,62,80,Motor and Lubrication
12.85,80.94,2863,260,33.67,71,73,84,No Maintenance Required
12.81,77.7,2844,286,30.9,78,65,85,Brake System and Lubrication
12.74,81.6,2848,283,35.78,75,64,78,No Maintenance Required
12.47,82.95,2995,281,36.5,67,73,86,No Maintenance Required
12.41,78.55,2826,294,33.5,67,64,81,No Maintenance Required
12.76,84.26,3045,300,34.48,65,74,90,Brake System and Lubrication
12.54,80.75,2991,276,31.2,74,69,90,Brake System and Lubrication
12.72,83.45,3274,252,33.79,61,60,85,Brake System and Lubrication
12.3,75.8,2846,282,32.41,67,61,79,Motor and Tyres
12.7,77.68,3187,255,34.32,71,73,80,Tyres
12.84,75.33,3035,279,34.0,76,75,80,Tyres and Brake System
12.58,80.69,2980,280,31.62,61,62,79,Tyres
12.56,82.21,2830,290,33.18,73,70,79,Tyres and Brake System
12.35,81.75,2905,290,35.88,62,68,78,Tyres
12.82,81.88,3283,299,36.0,63,63,79,Motor and Tyres
12.73,83.38,3071,258,35.17,72,66,81,Tyres
12.8,76.66,2811,257,34.84,65,75,81,Brake System and Lubrication
12.12,83.41,2856,284,31.48,66,69,85,Motor and Tyres
12.77,76.61,2808,256,33.34,60,72,82,Tyres
12.28,77.2,2975,289,36.57,60,73,86,Tyres and Lubrication
12.63,79.94,3055,288,32.97,69,75,88,Motor and Tyres
12.63,83.59,3054,281,30.83,73,64,90,No Maintenance Required
12.79,82.54,2945,300,34.24,76,70,84,Motor and Tyres
12.62,76.67,3033,261,34.41,78,69,78,Tyres and Lubrication
12.59,84.61,3216,267,35.4,70,64,87,Tyres and Brake System
12.73,78.86,3035,276,34.69,60,60,79,No Maintenance Required
12.72,77.68,3032,290,31.8,77,70,86,Tyres
12.73,78.81,3229,289,35.15,69,65,82,Battery
12.18,82.57,2825,265,34.74,75,71,89,Tyres and Lubrication
12.66,77.55,2957,284,31.44,76,68,81,Tyres
12.1,77.93,3067,275,35.99,77,62,89,Motor and Tyres
12.67,76.85,2968,289,30.1,68,69,85,Brake System and Lubrication
12.84,83.65,3285,282,36.43,61,71,82,Tyres and Lubrication
12.6,82.04,2847,253,30.87,79,74,82,Motor and Lubrication
12.87,79.77,3091,280,30.2,74,61,84,Tyres and Brake System
12.61,82.27,3013,297,32.46,79,68,80,Motor and Lubrication
12.36,84.54,3059,298,31.44,74,71,78,No Maintenance Required
12.38,80.6,3015,288,32.25,62,70,81,Battery
12.71,82.0,2809,278,33.85,62,61,86,Tyres and Lubrication
12.89,84.71,3278,269,35.32,79,72,85,Battery
12.56,83.11,3294,272,33.73,64,69,80,Battery
12.55,75.69,3104,259,36.73,61,66,82,Motor and Lubrication
12.44,80.11,3176,279,31.54,79,73,81,Tyres and Lubrication
12.56,81.78,3084,260,36.96,67,69,79,Motor and Lubrication
12.37,84.98,3006,291,30.36,74,64,90,Tyres
12.63,78.31,2816,278,30.36,72,68,78,No Maintenance Required
12.12,77.85,2994,252,31.33,80,71,81,Motor and Lubrication
12.73,77.67,3218,257,32.29,78,68,78,Motor and Tyres
12.29,78.74,3014,296,33.9,68,68,86,Tyres
12.1,83.18,3054,277,34.02,78,69,86,Tyres
12.79,76.53,2992,297,36.47,68,65,79,Tyres and Lubrication
12.43,83.34,2980,285,32.89,67,60,78,Brake System and Lubrication
12.59,82.03,2907,290,31.0,80,69,90,Motor and Tyres
12.41,79.39,2990,278,31.34,72,67,78,Motor and Tyres
12.32,79.78,3286,270,33.01,72,63,81,Tyres and Brake System
12.78,77.44,3251,261,32.66,62,67,84,Tyres and Brake System
12.17,79.82,3046,275,35.3,74,69,82,Motor and Lubrication
12.75,82.22,3024,252,33.03,73,72,90,Battery
12.15,77.4,2801,259,31.56,69,72,80,No Maintenance Required
12.58,79.83,3192,254,32.36,62,65,83,Battery
12.42,80.25,3159,281,33.19,64,73,84,Tyres and Brake System
12.81,82.44,3248,267,32.63,63,75,82,Motor and Lubrication
12.69,84.69,3165,272,31.9,76,70,87,Brake System and Lubrication
12.72,84.24,2960,263,35.11,80,68,88,Motor and Lubrication
12.14,75.11,3201,289,33.8,73,67,88,No Maintenance Required
12.42,76.37,2834,295,33.38,68,65,79,Tyres and Lubrication
12.32,79.25,3014,251,30.72,78,68,79,Motor and Lubrication
12.65,81.0,2956,293,30.05,72,60,80,Tyres and Lubrication
12.87,78.82,2804,259,31.36,63,69,82,Tyres
12.79,82.8,2947,290,35.59,63,67,81,Tyres and Brake System
12.47,75.26,3163,258,30.58,78,66,82,Tyres and Brake System
12.16,83.82,3048,286,34.44,71,74,81,No Maintenance Required
12.37,81.82,2881,273,33.59,76,67,83,Tyres
12.55,77.73,3134,265,32.59,72,68,84,Brake System and Lubrication
12.19,75.29,2931,276,31.6,71,67,84,Battery
12.26,78.01,3084,268,36.64,61,69,89,Tyres and Brake System
12.36,75.97,2874,284,32.77,64,73,85,Tyres
12.25,76.37,3205,269,34.59,62,71,81,Motor and Tyres
12.79,77.73,3075,276,33.11,80,67,89,Motor and Lubrication
12.52,80.44,2846,274,36.51,71,74,80,Motor and Tyres
12.23,78.24,2806,274,31.94,66,75,89,Motor and Tyres
12.54,84.61,3297,294,33.87,67,66,81,Tyres and Brake System
12.51,78.4,2932,283,30.99,78,70,89,Tyres and Brake System
12.47,75.49,3127,256,33.72,70,61,83,Brake System and Lubrication
12.34,79.04,3220,253,33.82,68,69,78,No Maintenance Required
12.21,79.73,3278,261,33.87,62,71,81,Tyres
12.33,82.72,3259,282,32.21,80,66,78,No Maintenance Required
12.24,77.9,2933,292,34.29,62,71,81,Tyres
12.48,75.75,3255,273,35.05,79,66,80,Tyres and Lubrication
12.75,84.6,3181,254,35.09,64,65,83,Battery
12.34,84.51,3022,250,30.24,63,62,82,Motor and Tyres
12.24,84.23,2826,293,35.53,80,63,84,Tyres and Lubrication
12.42,80.3,3206,271,31.84,75,71,81,Battery
12.31,79.89,3296,273,32.5,79,63,82,Motor and Tyres
12.62,82.53,3252,291,34.26,78,71,86,No Maintenance Required
12.7,83.01,3090,290,31.36,73,67,87,Tyres and Lubrication
12.75,81.95,3043,279,35.55,75,60,80,Tyres and Lubrication
12.27,78.49,2885,270,34.63,79,68,85,Brake System and Lubrication
12.7,79.18,2825,298,35.86,73,62,89,Tyres and Lubrication
12.73,78.4,2969,271,32.24,62,63,80,Battery
12.83,82.46,3139,280,34.65,67,65,85,Tyres and Brake System
12.65,77.35,2902,251,36.02,64,60,88,Tyres and Brake System
12.36,84.5,3111,275,30.45,62,71,78,Motor and Lubrication
12.87,83.82,2984,298,34.37,69,73,88,Brake System and Lubrication
12.8,81.82,3124,269,36.44,69,71,89,Tyres
12.19,78.15,3192,275,31.71,63,61,78,Motor and Tyres
12.34,77.89,3128,276,32.73,61,75,81,No Maintenance Required
12.41,75.02,2836,257,31.46,73,62,86,Motor and Lubrication
12.22,84.43,2999,261,33.0,60,75,87,Motor and Tyres
12.61,77.84,2957,268,32.22,78,74,78,Battery
12.57,76.25,3295,259,34.81,61,72,86,Motor and Lubrication
12.71,84.63,3089,259,31.53,80,68,89,Motor and Lubrication
12.16,84.38,3094,300,31.18,60,70,81,Motor and Tyres
12.14,76.95,3118,275,32.91,60,71,89,Motor and Lubrication
12.62,76.53,3184,277,34.23,61,72,81,Tyres and Lubrication
12.86,75.15,2999,270,33.05,70,67,84,Motor and Lubrication
12.87,81.23,3174,268,33.88,67,71,85,Brake System and Lubrication
12.15,78.28,3226,274,31.76,64,64,90,Tyres and Brake System
12.53,83.56,3141,294,33.54,63,66,80,Motor and Tyres
12.31,82.03,2928,296,30.71,66,70,79,Motor and Lubrication
12.76,78.39,3034,299,31.89,62,65,89,Tyres and Brake System
12.59,80.45,2849,292,34.62,72,64,90,Tyres
12.12,82.05,3295,300,32.38,71,61,83,Brake System and Lubrication
12.79,83.63,3045,250,33.47,76,65,85,Motor and Tyres
12.27,82.55,2922,254,31.84,78,65,87,Motor and Tyres
12.34,76.02,3244,275,32.3,77,63,90,Brake System and Lubrication
12.36,76.42,2854,277,31.52,70,72,81,No Maintenance Required
12.6,82.03,2819,253,36.27,71,70,87,Brake System and Lubrication
12.6,83.39,2957,288,30.54,74,64,90,Tyres and Brake System
12.79,75.62,2907,287,36.03,63,73,81,No Maintenance Required
12.3,84.49,3129,262,32.82,63,72,83,No Maintenance Required
12.14,81.67,3167,281,31.76,71,67,78,Brake System and Lubrication
12.56,75.02,2979,297,34.57,78,60,85,No Maintenance Required
12.54,79.24,3003,254,32.57,62,69,79,Brake System and Lubrication
12.7,77.5,2869,300,31.06,76,63,80,Battery
12.3,84.64,2873,292,31.09,72,74,81,Tyres and Lubrication
12.48,77.18,2908,280,34.31,76,73,88,Brake System and Lubrication
12.11,80.59,3169,297,31.54,64,74,86,Battery
12.45,76.28,3007,274,35.37,63,60,89,Motor and Tyres
12.82,76.86,3119,300,32.17,69,67,89,No Maintenance Required
12.63,82.09,2861,260,36.67,67,69,79,Tyres and Brake System
12.64,83.7,3156,294,36.03,63,62,88,Brake System and Lubrication
12.16,78.36,3211,268,35.8,80,62,78,Tyres
12.76,83.13,2979,267,33.96,71,61,84,Motor and Lubrication
12.23,80.67,3008,261,32.43,78,61,78,Tyres
12.74,79.08,2875,287,35.56,60,60,88,No Maintenance Required
12.75,75.22,2917,293,34.44,68,66,89,No Maintenance Required
12.76,75.91,3044,278,31.42,76,66,83,No Maintenance Required
12.75,81.19,2843,271,32.02,71,70,83,Tyres and Brake System
12.81,82.05,3238,267,31.04,63,71,83,Tyres
12.38,78.11,3209,257,30.4,77,71,84,Brake System and Lubrication
12.72,82.81,3013,283,35.68,77,74,79,Brake System and Lubrication
12.48,80.05,3052,291,33.67,71,70,89,Motor and Tyres
12.46,75.49,3285,271,34.95,72,60,78,Motor and Tyres
12.53,81.95,3090,261,35.85,76,64,88,Tyres and Lubrication
12.15,80.63,3137,270,32.87,70,73,89,Brake System and Lubrication
12.63,78.07,2931,282,36.79,60,60,89,No Maintenance Required
12.81,82.01,3218,289,31.35,66,75,89,Tyres and Brake System
12.23,84.21,3083,289,32.99,60,69,86,Motor and Lubrication
12.8,81.55,2861,250,30.41,63,65,82,Tyres and Brake System
12.69,76.76,3237,300,32.52,75,64,78,Brake System and Lubrication
12.24,83.9,3009,263,33.15,60,61,87,Tyres and Brake System
12.53,75.24,3127,258,35.9,64,60,90,Brake System and Lubrication
12.44,80.79,3138,270,33.49,74,66,88,Tyres and Lubrication
12.18,79.36,2923,285,34.86,74,74,87,No Maintenance Required
12.55,83.97,3292,294,33.41,63,62,82,Tyres
12.6,77.99,3245,263,32.13,78,68,78,Tyres and Lubrication
12.63,84.8,3122,258,35.8,68,71,78,Tyres
12.78,78.07,3247,251,34.23,70,67,86,No Maintenance Required
12.29,82.29,3247,281,33.32,73,70,90,Battery
12.72,75.41,3257,284,30.74,73,72,84,Motor and Tyres
12.29,79.02,3157,269,36.02,77,70,86,Battery
12.64,80.75,3109,255,36.36,65,74,81,Tyres and Lubrication
12.2,76.28,2829,287,32.14,78,65,87,Tyres and Lubrication
12.75,76.75,2844,298,32.17,77,68,88,Tyres and Brake System
12.9,76.94,2921,297,35.9,77,72,80,No Maintenance Required
12.46,77.89,3049,294,36.37,69,73,81,Tyres and Lubrication
12.21,83.75,3275,250,33.94,67,63,79,Tyres and Brake System
12.76,83.37,3102,296,31.08,76,62,87,Tyres and Lubrication
12.83,79.53,2987,286,32.36,78,71,90,No Maintenance Required
12.43,82.64,2847,268,32.22,68,61,80,Motor and Tyres
12.33,75.54,2813,286,30.65,76,73,79,Motor and Lubrication
12.31,75.08,3144,299,32.21,75,62,89,Motor and Lubrication
12.42,75.16,2881,300,35.08,76,68,89,No Maintenance Required
12.7,80.64,3029,262,35.73,70,68,84,Battery
12.63,79.97,3064,263,36.36,66,60,79,Tyres and Brake System
12.21,79.5,3269,267,31.26,61,66,81,Tyres and Brake System
12.64,79.97,3237,278,35.66,60,64,85,Motor and Lubrication
12.14,84.29,3123,265,34.24,73,61,85,Tyres
12.27,76.0,2900,300,35.04,74,61,86,Tyres and Brake System
12.83,84.86,3150,298,32.73,79,70,82,Brake System and Lubrication
12.64,82.6,3191,290,33.26,72,62,82,Tyres and Brake System
12.85,81.78,2889,292,34.17,78,65,79,Tyres
12.47,75.77,3215,298,33.27,71,66,79,Battery
12.53,84.91,3245,290,32.21,61,68,90,Tyres and Lubrication
12.85,81.9,2909,262,30.65,68,71,88,Motor and Tyres
12.6,83.49,3120,294,31.95,65,66,84,Motor and Tyres
12.44,80.1,2907,254,36.24,79,72,81,Battery
12.41,83.03,3268,270,36.67,75,71,89,Motor and Tyres
12.37,81.8,3027,266,32.85,69,65,80,Tyres and Brake System
12.41,78.82,3127,275,31.1,70,74,84,Motor and Lubrication
12.29,77.48,3212,290,33.76,63,66,87,Brake System and Lubrication
12.16,76.93,3193,297,35.43,79,60,85,Battery
12.19,81.76,3231,267,31.4,72,70,90,Motor and Tyres
12.27,80.23,2910,259,34.25,68,64,88,Tyres
12.85,76.94,3202,294,36.98,79,73,87,Tyres and Lubrication
12.17,78.25,3201,259,33.93,63,61,83,Battery
12.66,80.85,3110,283,35.86,62,63,81,Brake System and Lubrication
12.85,84.26,3069,252,31.68,78,69,85,Tyres
12.83,77.79,3294,255,33.83,60,66,78,Tyres
12.49,84.85,3263,297,33.26,65,62,83,Tyres
12.29,84.63,3114,266,33.36,62,60,80,Tyres and Lubrication
12.18,84.41,3164,255,35.57,69,69,82,Tyres and Lubrication
12.23,83.65,3131,295,34.79,64,63,79,Motor and Tyres
12.69,81.19,2957,298,30.63,76,67,87,Tyres and Brake System
12.12,84.61,2858,264,33.15,61,67,88,Tyres and Lubrication
12.68,77.91,3147,285,32.39,66,68,89,Tyres
12.68,75.67,2808,300,30.57,73,61,83,Brake System and Lubrication
12.12,78.37,3088,265,35.49,68,73,82,No Maintenance Required
12.25,82.81,3116,268,35.81,60,60,90,Battery
12.65,79.36,3045,271,30.66,70,64,84,Motor and Tyres
12.2,77.27,2803,263,34.37,65,71,88,Motor and Tyres
12.27,81.8,3060,279,35.93,62,69,90,Tyres
12.21,83.04,2886,289,36.59,74,67,85,Brake System and Lubrication
12.69,83.0,2943,277,36.89,61,69,80,Motor and Tyres
12.49,80.16,2967,288,30.81,60,74,86,No Maintenance Required
12.7,76.28,3059,250,35.78,80,71,84,Tyres and Lubrication
12.13,76.96,2887,258,35.52,60,66,88,Brake System and Lubrication
12.83,75.09,2877,277,34.4,66,66,90,Brake System and Lubrication
12.29,82.71,3004,259,31.36,75,73,83,Tyres
12.51,81.01,2848,287,35.54,73,75,82,Tyres
12.26,78.24,3222,273,36.08,69,62,80,Tyres and Lubrication
12.44,82.61,2899,272,30.45,72,68,85,Tyres and Brake System
12.59,80.11,2858,265,32.73,79,66,79,Tyres
12.16,82.62,2921,288,34.96,76,71,86,Motor and Lubrication
12.52,77.67,3237,293,31.13,71,71,90,Motor and Lubrication
12.53,83.06,2818,251,36.3,73,67,80,Tyres and Brake System
12.25,83.49,3026,273,34.21,73,64,90,No Maintenance Required
12.72,77.0,2881,290,31.9,77,64,82,No Maintenance Required
12.15,80.41,3194,298,32.14,64,73,82,Tyres and Brake System
12.55,80.84,3140,286,33.12,72,70,84,Brake System and Lubrication
12.64,80.12,2872,274,33.1,66,69,79,Tyres
12.88,83.96,2941,261,36.78,71,71,80,Tyres
12.47,84.71,3252,252,30.23,69,73,87,Battery
12.31,83.73,3090,272,33.92,62,69,78,Tyres
12.48,78.22,3279,250,36.53,72,63,86,Tyres and Brake System
12.14,76.29,2835,286,32.4,60,75,82,Battery
12.52,81.34,2801,278,30.86,72,74,86,Motor and Lubrication
12.63,75.73,3143,255,36.24,67,70,81,Tyres
12.64,81.17,2834,281,30.99,60,63,80,Motor and Lubrication
12.5,75.7,2894,291,32.93,70,61,84,No Maintenance Required
12.12,79.18,2890,293,33.84,71,61,80,Motor and Lubrication
12.14,76.7,2810,268,30.94,76,71,87,Motor and Tyres
12.33,76.27,3175,273,35.57,61,74,79,Tyres and Lubrication
12.44,83.61,3273,250,30.62,79,69,89,Battery
12.89,76.85,3117,268,33.97,71,73,88,No Maintenance Required
12.59,83.19,3200,264,33.59,65,73,87,Tyres and Brake System
12.11,82.18,2873,274,31.85,63,66,81,Motor and Tyres
12.66,77.68,2971,274,31.14,60,75,86,Tyres
12.66,77.94,2893,275,32.58,70,72,87,Battery
12.49,80.6,2933,277,32.53,60,69,88,Tyres
12.89,84.0,3011,268,35.44,74,73,78,Tyres and Brake System
12.69,82.46,3261,258,30.85,72,61,87,Tyres and Brake System
12.31,77.53,2924,299,31.85,63,62,82,No Maintenance Required
12.54,80.32,3276,258,31.83,79,68,84,Tyres and Brake System
12.28,83.88,2878,269,35.18,80,70,81,Tyres and Brake System
12.53,81.44,3089,275,31.16,69,74,85,No Maintenance Required
12.76,80.81,3095,266,35.74,60,73,80,Tyres
12.36,78.58,3093,289,34.63,72,60,83,Motor and Tyres
12.28,76.88,2980,300,33.26,69,60,89,Brake System and Lubrication
12.4,79.12,3277,280,32.53,79,62,87,Tyres and Lubrication
12.34,82.46,3124,261,31.26,65,72,86,Motor and Tyres
12.46,76.72,3203,266,31.7,64,60,82,Tyres and Lubrication
12.13,79.16,2918,275,31.71,74,69,87,Tyres and Brake System
12.66,76.28,3097,258,35.95,63,75,80,Tyres and Lubrication
12.43,83.68,3055,262,34.33,63,67,88,Brake System and Lubrication
12.39,80.44,3064,260,30.66,80,66,88,Motor and Tyres
12.48,78.63,2927,273,35.96,72,70,80,Motor and Tyres
12.31,78.35,2998,268,31.02,73,73,83,No Maintenance Required
12.4,82.77,3216,261,34.51,61,60,89,Motor and Lubrication
12.25,81.34,2838,282,35.16,75,70,84,Brake System and Lubrication
12.76,80.51,3215,267,32.26,71,74,79,No Maintenance Required
12.7,78.17,3003,278,31.96,79,60,89,Motor and Tyres
12.86,84.67,3266,251,31.66,62,68,78,Tyres and Brake System
12.46,75.11,3214,262,30.95,64,64,90,Tyres and Lubrication
12.85,83.09,3064,264,30.14,76,75,81,Motor and Lubrication
12.68,75.64,2899,267,34.48,74,65,89,Motor and Tyres
12.5,78.22,3140,267,30.83,60,66,85,Tyres and Brake System
12.59,76.96,3142,252,34.28,62,70,87,Tyres
12.5,76.9,3188,267,36.7,71,70,81,Motor and Lubrication
12.61,79.31,2830,252,36.53,75,69,90,Battery
12.56,82.02,2822,265,31.37,77,75,90,Tyres
12.88,79.85,2970,269,34.62,76,70,81,Brake System and Lubrication
12.85,83.31,3193,285,30.89,72,61,85,Battery
12.35,83.38,3273,299,34.09,63,75,82,Tyres
12.82,83.0,2912,268,35.86,69,74,85,Battery
12.58,83.14,2908,289,34.38,79,71,81,Brake System and Lubrication
12.39,80.75,2883,271,30.74,70,66,86,Battery
12.77,83.11,2808,251,36.34,62,62,89,Motor and Lubrication
12.31,80.98,3147,263,33.94,73,67,85,Tyres
12.62,84.81,2917,279,33.74,70,72,87,No Maintenance Required
